skill,sector,free_course,paid_course_1,paid_course_2,paid_course_3
Influencer Marketing,Marketing,Influencer Marketing 101 (HubSpot Academy),Coursera Influencer Marketing Strategy,Udemy Influencer Marketing Masterclass,LinkedIn Learning Influencer Marketing Essentials
Corporate Finance,Finance,Corporate Finance Essentials (edX Audit),Coursera Corporate Finance Specialization,Udemy Corporate Finance Masterclass,edX Corporate Finance Professional Certificate
Tax Preparation,Finance,Tax Preparation Basics (YouTube - IRS Free File),Udemy Tax Preparation and Law,Coursera Federal Taxation Fundamentals,LinkedIn Learning Tax Preparation Essentials
Financial Modeling,Finance,Financial Modeling Fundamentals (YouTube - Wall Street Prep),Coursera Financial Modeling Specialization,Udemy Financial Modeling Masterclass,edX Financial Modeling for Professionals
Budgeting,Finance,Budgeting Basics (Alison),LinkedIn Learning Budgeting for Managers,Coursera Budgeting and Finance for Managers,Udemy Budgeting and Financial Planning
Auditing,Finance,Auditing Fundamentals (edX Audit),Coursera Auditing Specialization,Udemy Auditing and Assurance Services,edX Auditing Professional Certificate
Medical Terminology,Healthcare,Medical Terminology (Alison),Coursera Medical Terminology Specialization,CPC Medical Terminology Certification,Udemy Medical Terminology Masterclass
Pharmacy Technician,Healthcare,Pharmacy Technician Basics (YouTube - FreeCE),Certified Pharmacy Technician (CPhT) Course,Coursera Pharmacy Technician Fundamentals,Udemy Pharmacy Technician Training
Health and Safety,Healthcare,Workplace Health and Safety (Alison),OSHA 30-Hour General Industry Certification,Coursera Occupational Health and Safety,Udemy Health and Safety Compliance
Clinical Research,Healthcare,Introduction to Clinical Research (edX Audit),Coursera Clinical Research Specialization,edX Clinical Research Professional Certificate,CCRP Certification (SOCRA)
Mental Health Support,Healthcare,Mental Health First Aid (FutureLearn),Coursera Psychological First Aid,LinkedIn Learning Mental Health First Aid Fundamentals,Udemy Mental Health Support Training
Robotics,Tech,Introduction to Robotics (edX Audit),Coursera Robotics Specialization,Udemy Robotics for Beginners,edX Robotics Professional Certificate
Augmented Reality,Tech,AR Development Basics (YouTube - Unity3D),Udemy The Complete ARKit Developer Course,Coursera AR Development Specialization,edX AR and VR Development
Big Data,Tech,Big Data Fundamentals (edX Audit),Coursera Big Data Specialization,Udemy Big Data and Hadoop Masterclass,edX Big Data Analytics Professional Certificate
Quality Assurance,Tech,Software Testing Basics (YouTube - Software Testing Help),Udemy Software Testing Masterclass,Coursera Software Testing and Automation,ISTQB Certified Tester
IT Support,Tech,Google IT Support Fundamentals (Coursera Audit),Google IT Support Professional Certificate,CompTIA A+ Certification,Coursera IT Support Specialist
Stress Management,Non-Tech,Stress Management Techniques (Alison),LinkedIn Learning Managing Stress,Coursera Stress Management Strategies,Udemy Stress Management Masterclass
Interpersonal Skills,Non-Tech,Interpersonal Communication (FutureLearn),Coursera Interpersonal Communication Specialization,LinkedIn Learning Interpersonal Skills Essentials,Udemy Interpersonal Skills Mastery
Sales Skills,Business,Sales Training Basics (YouTube - The Sales Lion),LinkedIn Learning Sales Foundations,Coursera Sales Management Specialization,Udemy Sales Techniques Masterclass
Lean Six Sigma,Business,Lean Six Sigma Introduction (Alison),Lean Six Sigma Green Belt Certification,Coursera Lean Six Sigma Specialization,Udemy Lean Six Sigma Black Belt
Analytics,Marketing,Google Analytics for Beginners (Google Analytics Academy),Coursera Google Analytics Certification,Udemy Google Analytics Mastery,LinkedIn Learning Advanced Google Analytics
Cryptocurrency,Finance,Cryptocurrency Basics (YouTube - Coin Bureau),Coursera Cryptocurrency and Blockchain Specialization,Udemy Cryptocurrency Trading Masterclass,edX Cryptocurrency and Blockchain Technology
Epidemiology,Healthcare,Introduction to Epidemiology (Coursera Audit),Coursera Epidemiology in Public Health Practice,edX Epidemiology for Public Health,CPH Certification Prep (Udemy)
