job_role,category,subcategory,skills,keywords
Systems Administrator,technical,cybersecurity_and_it,"Linux, Windows Server, Active Directory, VMware, Cloud Computing, Network Management, PowerShell, Bash, AWS, Monitoring","administered, configured, maintained, monitored, troubleshooted, upgraded, secured, managed, supported, optimized"
Database Administrator,technical,cybersecurity_and_it,"SQL, Oracle, MySQL, PostgreSQL, Database Management, Performance Tuning, Backup Recovery, AWS RDS, MongoDB, Data Modeling","managed, optimized, configured, maintained, backed up, recovered, secured, designed, monitored, administered"
Network Administrator,technical,cybersecurity_and_it,"Cisco, Routing, Switching, Network Management, Firewalls, TCP/IP, VPN, LAN/WAN, CCNA, SD-WAN","configured, managed, monitored, troubleshooted, maintained, secured, optimized, implemented, upgraded, designed"
IT Project Manager,technical,cybersecurity_and_it,"Project Management, Agile, Scrum, IT Strategy, Stakeholder Management, Risk Management, Budgeting, PMP, JIRA, Technical Leadership","managed, planned, delivered, coordinated, oversaw, implemented, tracked, mitigated, executed, led"
Technical Support Engineer,technical,cybersecurity_and_it,"Technical Support, Troubleshooting, Customer Service, Linux, Windows, Networking, PowerShell, Zendesk, Cloud Support, ITIL","supported, troubleshooted, resolved, assisted, configured, maintained, diagnosed, documented, escalated, serviced"
DevSecOps Engineer,technical,cybersecurity_and_it,"DevOps, Security, CI/CD, Docker, Kubernetes, Cloud Security, Penetration Testing, Terraform, Jenkins, Python","secured, automated, deployed, integrated, optimized, engineered, monitored, designed, implemented, scanned"
Identity and Access Management Engineer,technical,cybersecurity_and_it,"IAM, Okta, SailPoint, Active Directory, Cloud Security, Authentication, Authorization, LDAP, OAuth, Compliance","managed, secured, configured, implemented, designed, monitored, authenticated, authorized, complied, optimized"
Cryptography Engineer,technical,cybersecurity_and_it,"Cryptography, Encryption, PKI, Security Protocols, Python, Blockchain, Secure Coding, OpenSSL, TLS, Hashing","secured, encrypted, designed, implemented, developed, protected, optimized, analyzed, integrated, hardened"
Mechanical Engineer,technical,engineering,"SolidWorks, CAD, Thermodynamics, Materials Science, Finite Element Analysis, Prototyping, ANSYS, Project Management, MATLAB, Manufacturing","designed, analyzed, prototyped, tested, engineered, developed, modeled, optimized, calculated, fabricated"
Electrical Engineer,technical,engineering,"AutoCAD, Circuit Design, PLC Programming, Power Systems, Electronics, MATLAB, Embedded Systems, Pspice, Project Management, Microcontrollers","designed, developed, tested, engineered, configured, analyzed, implemented, optimized, programmed, maintained"
Civil Engineer,technical,engineering,"AutoCAD, Civil 3D, Structural Analysis, Geotechnical Engineering, Project Management, Surveying, Concrete Design, SAP2000, Hydraulics, Construction","designed, analyzed, planned, engineered, managed, constructed, surveyed, tested, optimized, calculated"
Aerospace Engineer,technical,engineering,"CAD, MATLAB, Aerodynamics, Structural Analysis, Propulsion Systems, Flight Dynamics, ANSYS, CATIA, Project Management, CFD","designed, analyzed, developed, tested, engineered, modeled, simulated, optimized, calculated, prototyped"
Biomedical Engineer,technical,engineering,"Medical Devices, Biomaterials, CAD, MATLAB, Biomechanics, Regulatory Compliance, Prototyping, LabVIEW, Testing, FDA Standards","designed, developed, tested, engineered, prototyped, analyzed, complied, validated, optimized, researched"
Chemical Engineer,technical,engineering,"Process Engineering, Aspen Plus, MATLAB, Chemical Process Design, Thermodynamics, Safety Regulations, Project Management, P&ID, Scale-Up, HAZOP","engineered, designed, optimized, developed, analyzed, scaled, implemented, tested, controlled, improved"
Industrial Engineer,technical,engineering,"Lean Manufacturing, Six Sigma, Process Optimization, Supply Chain, CAD, Data Analysis, Ergonomics, AutoCAD, Project Management, Kaizen","optimized, designed, analyzed, improved, engineered, implemented, streamlined, planned, coordinated, assessed"
Process Engineer,technical,engineering,"Process Optimization, Six Sigma, Chemical Engineering, P&ID, Project Management, Data Analysis, Control Systems, MATLAB, Lean Manufacturing, Safety","optimized, engineered, designed, implemented, analyzed, improved, controlled, developed, tested, monitored"
Structural Engineer,technical,engineering,"Structural Analysis, AutoCAD, SAP2000, Seismic Design, Concrete Design, Steel Design, ETABS, Geotechnical, Project Management, Revit","designed, analyzed, engineered, calculated, tested, modeled, constructed, optimized, planned, inspected"
Environmental Engineer,technical,engineering,"Environmental Compliance, Water Treatment, Air Quality, Waste Management, Sustainability, Project Management, EPA Regulations, GIS, Data Analysis, Remediation","designed, implemented, complied, remediated, analyzed, managed, optimized, assessed, planned, monitored"
Petroleum Engineer,technical,engineering,"Reservoir Engineering, Drilling Operations, Well Design, Petrophysics, Project Management, Data Analysis, HYSYS, Geology, Safety, SLB Tools","engineered, designed, analyzed, drilled, optimized, planned, modeled, tested, managed, developed"
Materials Engineer,technical,engineering,"Materials Science, Metallurgy, Testing, CAD, Failure Analysis, Polymer Science, ANSYS, Project Management, Characterization, Quality Control","analyzed, tested, developed, designed, engineered, researched, optimized, characterized, improved, validated"
Manufacturing Engineer,technical,engineering,"Lean Manufacturing, CAD, Process Optimization, Six Sigma, Automation, Robotics, Project Management, SolidWorks, Quality Control, GD&T","optimized, engineered, designed, implemented, automated, manufactured, improved, tested, developed, planned"
Control Systems Engineer,technical,engineering,"PLC Programming, SCADA, Control Systems, Automation, MATLAB, Instrumentation, Project Management, Simulink, PID Control, DCS","designed, programmed, controlled, implemented, engineered, optimized, tested, configured, maintained, integrated"
Automotive Engineer,technical,engineering,"CAD, Vehicle Dynamics, Automotive Design, MATLAB, Testing, Catia, Prototyping, ANSYS, Project Management, Powertrain","designed, developed, tested, engineered, prototyped, analyzed, optimized, modeled, simulated, built"
Energy Systems Engineer,technical,engineering,"的新能源, Power Systems, MATLAB, Energy Modeling, Sustainability, Grid Integration, Project Management, AutoCAD, HVAC, Energy Storage","designed, engineered, optimized, analyzed, implemented, modeled, planned, integrated, developed, sustained"
Telecommunications Engineer,technical,engineering,"Network Design, RF Engineering, 5G, Fiber Optics, Signal Processing, Project Management, Cisco, MATLAB, Testing, Telecom Standards","designed, configured, optimized, implemented, tested, engineered, planned, deployed, monitored, maintained"
Robotics Engineer,technical,engineering,"Robotics, ROS, C++, Python, Control Systems, Mechanical Design, AI, PLC, Project Management, MATLAB","developed, designed, programmed, engineered, tested, implemented, optimized, controlled, integrated, built"
Project Engineer,technical,engineering,"Project Management, CAD, Engineering Design, Risk Management, Budgeting, Construction, AutoCAD, PMP, Technical Analysis, Scheduling","managed, designed, planned, coordinated, engineered, implemented, monitored, optimized, executed, delivered"
Design Engineer,technical,engineering,"CAD, SolidWorks, Product Design, Prototyping, Finite Element Analysis, ANSYS, Creo, Project Management, Testing, GD&T","designed, developed, prototyped, tested, engineered, modeled, optimized, analyzed, created, improved"
IoT Specialist,technical,other_technical,"Arduino, Raspberry Pi, Sensors, MQTT, Embedded C, Node-RED, Python, Cloud Computing, Zigbee, BLE","programmed, connected, monitored, developed, designed, integrated, implemented, optimized, configured, tested"
Augmented Reality Developer,technical,other_technical,"Unity, C#, AR Development, 3D Modeling, Python, ARKit, ARCore, UI/UX, Computer Vision, Blender","developed, designed, created, implemented, optimized, programmed, modeled, tested, integrated, rendered"
Virtual Reality Developer,technical,other_technical,"Unity, Unreal Engine, C#, VR Development, 3D Modeling, Oculus, Python, UI/UX, OpenXR, Blender","developed, designed, created, implemented, optimized, programmed, modeled, tested, integrated, rendered"
Hardware Engineer,technical,other_technical,"PCB Design, VHDL, Verilog, Circuit Design, Embedded Systems, Altium, FPGA, Testing, Cadence, Prototyping","designed, developed, tested, engineered, prototyped, implemented, optimized, analyzed, integrated, fabricated"
Quantum Computing Researcher,technical,other_technical,"Quantum Computing, Python, Qiskit, Quantum Mechanics, MATLAB, Research, Algorithm Design, C++, Cryogenics, Quantum Circuits","researched, developed, simulated, designed, modeled, analyzed, implemented, optimized, experimented, published"
Simulation Engineer,technical,other_technical,"MATLAB, Simulink, ANSYS, Simulation, Python, Finite Element Analysis, CFD, Data Analysis, Modeling, Testing","simulated, modeled, analyzed, designed, developed, tested, optimized, engineered, validated, computed"
Computational Fluid Dynamics Engineer,technical,other_technical,"CFD, ANSYS Fluent, OpenFOAM, MATLAB, Fluid Dynamics, Simulation, Python, Finite Element Analysis, SolidWorks, Testing","simulated, analyzed, modeled, designed, optimized, engineered, tested, computed, developed, validated"
Finite Element Analysis Engineer,technical,other_technical,"ANSYS, ABAQUS, Finite Element Analysis, CAD, SolidWorks, MATLAB, Structural Analysis, Python, Simulation, Testing","analyzed, modeled, simulated, designed, tested, engineered, optimized, computed, developed, validated"
Signal Processing Engineer,technical,other_technical,"MATLAB, Python, Signal Processing, DSP, FPGA, Algorithm Design, C++, Embedded Systems, Filtering, Linux","processed, designed, developed, optimized, analyzed, implemented, engineered, tested, programmed, filtered"
Autonomous Systems Engineer,technical,other_technical,"ROS, Python, C++, Autonomous Systems, AI, Sensor Fusion, Control Systems, MATLAB, LIDAR, Computer Vision","developed, engineered, designed, implemented, optimized, integrated, tested, programmed, controlled, navigated"
Edge Computing Engineer,technical,other_technical,"Edge Computing, Python, IoT, Docker, Kubernetes, Cloud Computing, Networking, Embedded Systems, MQTT, Linux","developed, deployed, optimized, engineered, designed, integrated, configured, implemented, monitored, scaled"
Sensor Fusion Engineer,technical,other_technical,"Sensor Fusion, Python, ROS, Kalman Filtering, C++, LIDAR, IMU, Computer Vision, MATLAB, Robotics","integrated, processed, developed, designed, optimized, engineered, analyzed, implemented, tested, calibrated"
Digital Twin Engineer,technical,other_technical,"Digital Twin, IoT, Python, Simulation, Cloud Computing, MATLAB, Data Modeling, AWS, 3D Modeling, Analytics","developed, modeled, simulated, integrated, designed, optimized, engineered, analyzed, implemented, monitored"
Additive Manufacturing Engineer,technical,other_technical,"3D Printing, CAD, SolidWorks, Additive Manufacturing, Material Science, Prototyping, ANSYS, Process Optimization, Testing, Design","designed, developed, prototyped, engineered, tested, optimized, manufactured, analyzed, created, printed"
Smart Grid Engineer,technical,other_technical,"Smart Grid, Power Systems, SCADA, IoT, MATLAB, Energy Management, Python, Grid Integration, Renewable Energy, PLC","designed, engineered, optimized, integrated, monitored, developed, implemented, analyzed, controlled, maintained"
Battery Systems Engineer,technical,other_technical,"Battery Systems, MATLAB, Energy Storage, Electrochemistry, CAD, Testing, Power Electronics, Simulink, Prototyping, Safety","designed, developed, tested, engineered, optimized, analyzed, prototyped, implemented, modeled, improved"
Power Systems Engineer,technical,other_technical,"Power Systems, MATLAB, ETAP, Power Electronics, Grid Integration, Renewable Energy, SCADA, Project Management, AutoCAD, Testing","designed, engineered, analyzed, optimized, implemented, tested, integrated, planned, maintained, developed"
Wind Energy Engineer,technical,other_technical,"Wind Energy, CAD, MATLAB, Wind Turbine Design, Aerodynamics, Renewable Energy, Project Management, ANSYS, Testing, Sustainability","designed, engineered, optimized, analyzed, developed, tested, implemented, modeled, planned, sustained"
Solar Energy Engineer,technical,other_technical,"Solar Energy, PV Systems, MATLAB, CAD, Renewable Energy, Project Management, PVSyst, Energy Modeling, Testing, Sustainability","designed, engineered, optimized, analyzed, developed, implemented, tested, modeled, planned, sustained"
Energy Storage Engineer,technical,other_technical,"Energy Storage, Battery Systems, MATLAB, Power Electronics, Renewable Energy, Testing, CAD, Energy Modeling, Project Management, Sustainability","designed, engineered, optimized, developed, tested, analyzed, implemented, modeled, integrated, sustained"
Project Manager,non_technical,business_and_management,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management, Budgeting, PMP, JIRA, Leadership, Scheduling","managed, planned, delivered, coordinated, executed, oversaw, mitigated, tracked, led, implemented"
Program Manager,non_technical,business_and_management,"Program Management, PMP, Stakeholder Management, Strategic Planning, Risk Management, Agile, Budgeting, Leadership, Portfolio Management, MS Project","managed, oversaw, planned, coordinated, delivered, aligned, mitigated, executed, strategized, led"
Operations Manager,non_technical,business_and_management,"Operations Management, Process Optimization, Team Leadership, Budgeting, Lean Principles, Supply Chain, Strategic Planning, KPI Management, Project Management, ERP","managed, optimized, led, improved, streamlined, planned, executed, monitored, coordinated, delivered"
Business Development Manager,non_technical,business_and_management,"Sales, Negotiation, Market Research, CRM, Strategic Planning, Client Relations, Business Strategy, Lead Generation, Networking, Forecasting","developed, generated, negotiated, expanded, closed, built, strategized, cultivated, analyzed, achieved"
Account Manager,non_technical,business_and_management,"Client Relations, CRM, Sales, Negotiation, Account Management, Customer Retention, Business Development, Communication, Upselling, Forecasting","managed, built, maintained, developed, negotiated, serviced, expanded, resolved, collaborated, achieved"
Sales Manager,non_technical,business_and_management,"Sales Leadership, Team Management, CRM, Sales Strategy, Forecasting, Negotiation, Market Analysis, Revenue Growth, Coaching, Pipeline Management","led, managed, developed, closed, forecasted, coached, achieved, strategized, expanded, motivated"
Marketing Manager,non_technical,business_and_management,"Marketing Strategy, Digital Marketing, Campaign Management, Market Research, Branding, SEO, Content Strategy, Analytics, Budgeting, CRM","planned, executed, analyzed, developed, managed, optimized, launched, promoted, measured, strategized"
Product Manager,non_technical,business_and_management,"Product Management, Agile, Roadmap Planning, Market Research, Stakeholder Management, UX Research, Product Lifecycle, Scrum, Business Analysis, JIRA","managed, developed, launched, planned, prioritized, defined, collaborated, analyzed, delivered, optimized"
Customer Success Manager,non_technical,business_and_management,"Customer Retention, CRM, Account Management, Client Relations, Onboarding, Churn Reduction, Customer Feedback, Upselling, Communication, Zendesk","managed, supported, onboarded, resolved, built, improved, engaged, retained, collaborated, delivered"
Supply Chain Manager,non_technical,business_and_management,"Supply Chain, Logistics, Inventory Management, Procurement, ERP, Process Optimization, Vendor Management, Forecasting, Lean Principles, SAP","managed, optimized, coordinated, planned, procured, streamlined, forecasted, implemented, monitored, improved"
Logistics Manager,non_technical,business_and_management,"Logistics, Supply Chain, Transportation, Inventory Management, Warehouse Operations, ERP, Vendor Management, Process Optimization, Budgeting, SAP","coordinated, managed, optimized, planned, executed, monitored, improved, streamlined, delivered, tracked"
Procurement Manager,non_technical,business_and_management,"Procurement, Vendor Management, Negotiation, Supply Chain, Contract Management, Cost Analysis, SAP, Strategic Sourcing, Budgeting, ERP","procured, negotiated, managed, sourced, optimized, contracted, analyzed, planned, executed, reduced"
Facilities Manager,non_technical,business_and_management,"Facilities Management, Maintenance, Safety Regulations, Budgeting, Vendor Management, Space Planning, HVAC, Compliance, Project Management, CMMS","managed, maintained, coordinated, planned, optimized, ensured, implemented, monitored, inspected, operated"
Production Manager,non_technical,business_and_management,"Production Management, Lean Manufacturing, Process Optimization, Team Leadership, Quality Control, Scheduling, ERP, Safety, Budgeting, Six Sigma","managed, optimized, supervised, planned, produced, improved, coordinated, ensured, monitored, delivered"
Retail Store Manager,non_technical,business_and_management,"Retail Management, Team Leadership, Sales, Customer Service, Inventory Management, Merchandising, P&L Management, Staff Training, KPI Tracking, POS Systems","managed, led, trained, optimized, sold, improved, monitored, coordinated, serviced, achieved"
Restaurant Manager,non_technical,business_and_management,"Restaurant Management, Customer Service, Team Leadership, Inventory Management, P&L Management, Food Safety, Staff Training, Scheduling, POS Systems, Hospitality","managed, led, trained, serviced, optimized, ensured, coordinated, improved, monitored, delivered"
Hospitality Manager,non_technical,business_and_management,"Hospitality Management, Customer Service, Guest Relations, Team Leadership, Revenue Management, Event Planning, Budgeting, Staff Training, P&L, CRM","managed, serviced, led, coordinated, optimized, planned, improved, trained, delivered, ensured"
Human Resources Manager,non_technical,business_and_management,"HR Management, Recruitment, Employee Relations, Payroll, Performance Management, Compliance, Training, HRIS, Benefits Administration, Onboarding","managed, recruited, resolved, administered, trained, complied, developed, implemented, supported, engaged"
Recruitment Specialist,non_technical,business_and_management,"Recruitment, Talent Acquisition, Interviewing, HRIS, Sourcing, Candidate Screening, Onboarding, ATS, Networking, Job Boards","recruited, sourced, screened, interviewed, onboarded, engaged, managed, coordinated, developed, placed"
Talent Acquisition Manager,non_technical,business_and_management,"Talent Acquisition, Recruitment, Sourcing, HRIS, Interviewing, Candidate Experience, ATS, Employer Branding, Networking, Onboarding","managed, sourced, recruited, interviewed, onboarded, developed, engaged, optimized, coordinated, built"
Financial Analyst,non_technical,finance_and_economics,"Financial Modeling, Excel, Data Analysis, Forecasting, Budgeting, SQL, Tableau, Financial Reporting, Valuation, Bloomberg","analyzed, modeled, forecasted, reported, budgeted, assessed, evaluated, calculated, presented, optimized"
